record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,Agra,buy,Lawyer's Colony,Apartment,"₹4,177","₹3,800","₹4,400",3,https://housing.com/in/buy/agra/lawyers-colony-gid/,no,,,,,null
locality,Agra,buy,Shastripuram,Apartment,"₹3,542","₹3,173","₹3,739",3,https://housing.com/in/buy/agra/shastripuram-gid/,yes,3801,3542,3646,3631,"[[""Apr'25-Jun'25"", 3801], [""July'25-Sept'25"", 3646], [""Oct'25-Dec'25"", 3631], [""Jan'26-Mar'26"", 3542]]"
locality,Agra,buy,Kehari,Apartment,"₹2,845","₹2,833","₹2,857",2,https://housing.com/in/buy/agra/kehari-gid/,yes,2885,2845,2913,2877,"[[""Apr'25-Jun'25"", 2885], [""July'25-Sept'25"", 2913], [""Oct'25-Dec'25"", 2877], [""Jan'26-Mar'26"", 2845]]"
locality,Agra,buy,Civil Lines,Apartment,"₹5,883","₹4,115","₹10,210",2,https://housing.com/in/buy/agra/civil-lines-gid/,yes,5067,5883,5178,4860,"[[""Apr'25-Jun'25"", 5067], [""July'25-Sept'25"", 5178], [""Oct'25-Dec'25"", 4860], [""Jan'26-Mar'26"", 5883]]"
locality,Agra,buy,Mantola,Apartment,"₹9,845","₹3,125","₹7,575",2,https://housing.com/in/buy/agra/mantola-gid/,no,,,,,null
locality,Agra,buy,Fatehabad,Apartment,"₹2,763","₹1,943","₹3,353",2,https://housing.com/in/buy/agra/fatehabad-gid/,yes,,2763,4594,3646,"[[""July'25-Sept'25"", 4594], [""Oct'25-Dec'25"", 3646], [""Jan'26-Mar'26"", 2763]]"
locality,Agra,buy,New Agra Colony,Apartment,"₹4,011","₹3,600","₹4,518",2,https://housing.com/in/buy/agra/new-agra-colony-gid/,yes,4818,4011,4376,4100,"[[""Apr'25-Jun'25"", 4818], [""July'25-Sept'25"", 4376], [""Oct'25-Dec'25"", 4100], [""Jan'26-Mar'26"", 4011]]"
locality,Agra,buy,Village Rajrai,Apartment,"₹3,738","₹2,666","₹4,811",2,https://housing.com/in/buy/agra/village-rajrai-gid/,yes,3378,3738,4420,4192,"[[""Apr'25-Jun'25"", 3378], [""July'25-Sept'25"", 4420], [""Oct'25-Dec'25"", 4192], [""Jan'26-Mar'26"", 3738]]"
locality,Agra,buy,Maharishi Puram Colony,Apartment,"₹3,904","₹2,799","₹5,483",2,https://housing.com/in/buy/agra/maharishi-puram-colony-gid/,yes,4602,3904,4493,3944,"[[""Apr'25-Jun'25"", 4602], [""July'25-Sept'25"", 4493], [""Oct'25-Dec'25"", 3944], [""Jan'26-Mar'26"", 3904]]"
locality,Agra,buy,Kalal Kheria,Apartment,"₹4,367","₹4,000","₹4,614",2,https://housing.com/in/buy/agra/kalal-kheria-gid/,yes,,4367,,4458,"[[""Oct'25-Dec'25"", 4458], [""Jan'26-Mar'26"", 4367]]"
locality,Agra,buy,Kahrai,Apartment,"₹2,501","₹2,080","₹2,923",2,https://housing.com/in/buy/agra/kahrai-gid/,yes,2619,2501,2714,2619,"[[""Apr'25-Jun'25"", 2619], [""July'25-Sept'25"", 2714], [""Oct'25-Dec'25"", 2619], [""Jan'26-Mar'26"", 2501]]"
locality,Agra,buy,Idgah Colony,Apartment,"₹3,492","₹2,909","₹3,950",2,https://housing.com/in/buy/agra/idgah-colony-gid/,yes,4326,3492,4650,3960,"[[""Apr'25-Jun'25"", 4326], [""July'25-Sept'25"", 4650], [""Oct'25-Dec'25"", 3960], [""Jan'26-Mar'26"", 3492]]"
