record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,New Delhi,rent,Chirag Dilli,1 BHK,"₹13,333","₹10,000","₹15,000",3,https://housing.com/rent/flats-for-rent-in-chirag-dilli-new-delhi-P1s3wt6m5434mnyhj,yes,8000,13333,10000,12799,"[[""Apr'25-Jun'25"", 8000], [""July'25-Sept'25"", 10000], [""Oct'25-Dec'25"", 12799], [""Jan'26-Mar'26"", 13333]]"
locality,New Delhi,rent,Jasola,1 BHK,"₹14,666","₹6,000","₹28,000",3,https://housing.com/rent/flats-for-rent-in-jasola-new-delhi-P5ys628pji5zzuaou,no,,,,,null
locality,New Delhi,rent,Ghitorni,1 BHK,"₹10,000","₹7,000","₹14,000",3,https://housing.com/rent/flats-for-rent-in-ghitorni-new-delhi-P4cpi0nmknnswsaho,no,,,,,null
locality,New Delhi,rent,Jaitpur,1 BHK,"₹6,333","₹4,500","₹8,000",3,https://housing.com/rent/flats-for-rent-in-jaitpur-new-delhi-P3ve00mqsfs1eeyac,yes,5500,6333,5200,5799,"[[""Apr'25-Jun'25"", 5500], [""July'25-Sept'25"", 5200], [""Oct'25-Dec'25"", 5799], [""Jan'26-Mar'26"", 6333]]"
locality,New Delhi,rent,Sewak Park,1 BHK,"₹8,833","₹5,000","₹12,000",3,https://housing.com/rent/flats-for-rent-in-sewak-park-new-delhi-P1aocn4wsxlzyxhns,yes,9480,8833,9322,10752,"[[""Apr'25-Jun'25"", 9480], [""July'25-Sept'25"", 9322], [""Oct'25-Dec'25"", 10752], [""Jan'26-Mar'26"", 8833]]"
locality,New Delhi,rent,Model Town,1 BHK,"₹14,666","₹6,000","₹20,000",3,https://housing.com/rent/flats-for-rent-in-model-town-new-delhi-P5v2hyglgqpqzr31t,yes,18372,14666,14907,13425,"[[""Apr'25-Jun'25"", 18372], [""July'25-Sept'25"", 14907], [""Oct'25-Dec'25"", 13425], [""Jan'26-Mar'26"", 14666]]"
locality,New Delhi,rent,Sector 2 Rohini,1 BHK,"₹11,833","₹9,500","₹16,000",3,https://housing.com/rent/flats-for-rent-in-sector-2-rohini-new-delhi-P4n3r2k29nop2sqi3,yes,11187,11833,13000,12428,"[[""Apr'25-Jun'25"", 11187], [""July'25-Sept'25"", 13000], [""Oct'25-Dec'25"", 12428], [""Jan'26-Mar'26"", 11833]]"
locality,New Delhi,rent,Jahangirpuri,1 BHK,"₹38,500","₹10,000","₹100,000",2,https://housing.com/rent/flats-for-rent-in-jahangirpuri-new-delhi-P61lgsdf1k72ibkec,no,,,,,null
locality,New Delhi,rent,Mayur Vihar,1 BHK,"₹12,000","₹5,000","₹20,000",2,https://housing.com/rent/flats-for-rent-in-mayur-vihar-new-delhi-P2aq8u6b2bira8w2,yes,,12000,,10200,"[[""Oct'25-Dec'25"", 10200], [""Jan'26-Mar'26"", 12000]]"
locality,New Delhi,rent,Sudarshan Park,1 BHK,"₹14,662","₹12,000","₹16,000",2,https://housing.com/rent/flats-for-rent-in-sudarshan-park-new-delhi-Pe5j6u2jl4oxjihj,yes,13016,14662,15628,15325,"[[""Apr'25-Jun'25"", 13016], [""July'25-Sept'25"", 15628], [""Oct'25-Dec'25"", 15325], [""Jan'26-Mar'26"", 14662]]"
locality,New Delhi,rent,Moti Nagar,1 BHK,"₹16,500","₹7,000","₹19,000",2,https://housing.com/rent/flats-for-rent-in-moti-nagar-new-delhi-Pev8cwqi7vkd0suq,yes,14199,15500,14963,16851,"[[""Apr'25-Jun'25"", 14199], [""July'25-Sept'25"", 14963], [""Oct'25-Dec'25"", 16851], [""Jan'26-Mar'26"", 15500]]"
locality,New Delhi,rent,Ganesh Nagar,1 BHK,"₹12,785","₹15,000","₹16,000",2,https://housing.com/rent/flats-for-rent-in-ganesh-nagar-new-delhi-Piahkam3stsenkt1,yes,9666,12785,10333,10183,"[[""Apr'25-Jun'25"", 9666], [""July'25-Sept'25"", 10333], [""Oct'25-Dec'25"", 10183], [""Jan'26-Mar'26"", 12785]]"
locality,New Delhi,rent,New Mustafabad,1 BHK,"₹4,800","₹3,000","₹6,000",2,https://housing.com/rent/flats-for-rent-in-new-mustafabad-new-delhi-P19fxx71y4a3hyo7n,yes,,4800,6666,5600,"[[""July'25-Sept'25"", 6666], [""Oct'25-Dec'25"", 5600], [""Jan'26-Mar'26"", 4800]]"
locality,New Delhi,rent,Sector 35 Rohini,1 BHK,"₹5,250","₹5,000","₹5,500",2,https://housing.com/rent/flats-for-rent-in-sector-35-rohini-new-delhi-P1xmf8lrgr477st8h,yes,5400,5250,4875,4833,"[[""Apr'25-Jun'25"", 5400], [""July'25-Sept'25"", 4875], [""Oct'25-Dec'25"", 4833], [""Jan'26-Mar'26"", 5250]]"
locality,New Delhi,rent,Pandav Nagar,1 BHK,"₹9,928","₹5,000","₹13,000",2,https://housing.com/rent/flats-for-rent-in-pandav-nagar-new-delhi-P20qtagm8gqg2clp6,yes,11700,9928,11333,11166,"[[""Apr'25-Jun'25"", 11700], [""July'25-Sept'25"", 11333], [""Oct'25-Dec'25"", 11166], [""Jan'26-Mar'26"", 9928]]"
locality,New Delhi,rent,Sarvapriya Vihar,2 BHK,"₹73,333","₹60,000","₹85,000",6,https://housing.com/rent/flats-for-rent-in-sarvapriya-vihar-new-delhi-P5wl4z6tw4lcvshll,yes,65333,73333,65000,62333,"[[""Apr'25-Jun'25"", 65333], [""July'25-Sept'25"", 65000], [""Oct'25-Dec'25"", 62333], [""Jan'26-Mar'26"", 73333]]"
locality,New Delhi,rent,Sector 19 Rohini,2 BHK,"₹23,583","₹19,000","₹28,000",6,https://housing.com/rent/flats-for-rent-in-sector-19-rohini-new-delhi-P173jfeidpmzh52o9,yes,17888,23583,24000,24000,"[[""Apr'25-Jun'25"", 17888], [""July'25-Sept'25"", 24000], [""Oct'25-Dec'25"", 24000], [""Jan'26-Mar'26"", 23583]]"
