city_name,city_page_url,price_trend_url
bahadurgarh,https://housing.com/in/buy/real-estate-bahadurgarh,https://housing.com/price-trends/property-rates-for-buy-in-bahadurgarh_india-P2n9n2l512801hj1g
bahraich,https://housing.com/in/buy/real-estate-bahraich,https://housing.com/price-trends/property-rates-for-buy-in-bahraich_uttar_pradesh-P1p2vocx1q40v2cvq
baksa,https://housing.com/in/buy/real-estate-baksa,https://housing.com/price-trends/property-rates-for-buy-in-baksa_assam-P2fm8a2p2emfkxnx3
balaghat,https://housing.com/in/buy/real-estate-balaghat,https://housing.com/price-trends/property-rates-for-buy-in-balaghat_madhya_pradesh-P687m3n8ylum3doj2
balangir,https://housing.com/in/buy/real-estate-balangir,https://housing.com/price-trends/property-rates-for-buy-in-balangir_odisha-P1y4ut2g1d2slgdmq
balasore,https://housing.com/in/buy/real-estate-balasore,https://housing.com/price-trends/property-rates-for-buy-in-balasore_odisha-P4f47po1iu6sf2fhb
ballia,https://housing.com/in/buy/real-estate-ballia,https://housing.com/price-trends/property-rates-for-buy-in-ballia_uttar_pradesh-P4rih38rb5j9ffiaq
balod,https://housing.com/in/buy/real-estate-balod,https://housing.com/price-trends/property-rates-for-buy-in-balod_chhattisgarh-P2q43ugp643glof68
balrampur,https://housing.com/in/buy/real-estate-balrampur,https://housing.com/price-trends/property-rates-for-buy-in-balrampur_chhattisgarh-P6b8zfaxp71wyu8y7
banaskantha,https://housing.com/in/buy/real-estate-banaskantha,https://housing.com/price-trends/property-rates-for-buy-in-banaskantha_gujarat-P6ntrs2pczgnjmmi0
banda,https://housing.com/in/buy/real-estate-banda,https://housing.com/price-trends/property-rates-for-buy-in-banda_uttar_pradesh-P1bn24xfe42dxazz5
bandipora,https://housing.com/in/buy/real-estate-bandipora,https://housing.com/price-trends/property-rates-for-buy-in-bandipora_jammu_and_kashmir-P6mhydan3xhnrbxza
banka,https://housing.com/in/buy/real-estate-banka,https://housing.com/price-trends/property-rates-for-buy-in-banka_bihar-Pnkcg08ef8hcevup
bankura,https://housing.com/in/buy/real-estate-bankura,https://housing.com/price-trends/property-rates-for-buy-in-bankura_west_bengal-P47o4d7nw466lymt9
banswara,https://housing.com/in/buy/real-estate-banswara,https://housing.com/price-trends/property-rates-for-buy-in-banswara_rajasthan-P41dwxk0jrmq1o1md
barabanki,https://housing.com/in/buy/real-estate-barabanki,https://housing.com/price-trends/property-rates-for-buy-in-barabanki_uttar_pradesh-P4mn5pu4abo94mwt2
baramulla,https://housing.com/in/buy/real-estate-baramulla,https://housing.com/price-trends/property-rates-for-buy-in-baramulla_jammu_and_kashmir-P6nrjg4ucs02pgr0a
